1,1,1,15,7080,0
1,1,3,15,18540,1
1,5,1,600,18540,2
1,1,3,20,2880,2
4,1,1,30,18540,2
9,1,2,120,4320,1
1,1,3,10,8640,0
1,1,3,20,8640,0
1,1,3,60,53280,0
6,1,2,90,28800,1
1,1,2,60,31680,0
1,1,2,10,2880,0
4,1,1,45,15840,2
5,1,1,40,15840,1
4,1,1,180,7020,2
1,1,1,300,22380,1
1,6,1,30,2700,1
3,1,1,10,8640,2
3,1,1,10,8640,2
3,1,1,10,8640,1
3,1,1,10,8640,1
3,1,1,10,8640,0
7,1,1,15,2880,1
1,1,1,15,8640,0
1,1,2,60,25920,1
3,5,1,30,23940,1
3,5,1,60,22860,1
3,5,1,120,18540,1
3,5,1,60,18540,1
3,5,1,60,18540,1
1,2,1,180,32640,0
1,7,1,10,50220,0
5,1,1,120,4200,1
5,1,1,180,13920,1
5,1,1,300,16620,1
5,1,1,90,5640,1
5,1,1,120,5280,1
3,1,1,30,5460,2
1,1,3,90,53280,2
4,3,1,180,28800,2
7,1,1,120,25920,1
1,3,1,120,8100,0
1,4,1,90,7020,0
1,4,1,180,8100,1
1,5,1,180,8100,1
2,1,1,30,5760,2
2,1,1,30,4320,2
1,8,1,15,4320,1
1,1,2,20,2880,1
1,1,1,30,18540,1
1,3,1,30,18540,1
1,4,1,30,18540,1
1,5,1,30,18540,1
4,1,1,5,4020,2
2,2,1,10,4320,2
15,1,1,5,2880,0
1,2,1,10,12480,0
1,4,1,5,8640,1
1,2,1,5,8160,0
1,4,1,10,8640,1
12,10,1,20,8520,2
12,1,1,20,7080,1
12,4,1,15,7080,2
1,1,3,180,53280,0
1,1,1,120,17280,2
3,1,1,90,22860,2
3,1,1,180,28620,2
1,1,2,15,32580,2
1,1,2,15,37260,1
1,1,2,15,34380,1
1,1,2,15,34380,0
1,1,2,15,8640,0
1,1,2,15,31680,1
1,3,1,60,5280,1
1,1,1,120,13920,1
1,5,1,120,16800,1
1,3,1,90,6720,1
1,3,1,100,18240,1
1,4,1,90,15420,1
1,1,1,120,22560,1
4,1,1,180,3660,2
1,3,1,10,2280,0
1,1,1,60,5280,1
1,1,1,20,18720,2
11,1,1,150,8520,2
11,1,1,180,14400,2
15,1,1,60,15840,1
1,1,3,45,4320,1
1,1,3,300,53280,0
3,1,3,300,53280,1
1,1,3,30,8640,1
1,1,1,20,8640,2
1,1,1,20,7200,1
1,1,1,20,5760,1
1,1,1,20,8640,0
3,1,1,30,5280,1
1,1,1,30,4020,0
1,9,1,10,8640,1
1,2,1,10,4320,0
14,1,1,5,8520,0
3,1,1,60,28500,2
13,1,3,20,7080,0
1,4,1,10,15660,0
1,1,1,30,2580,1
1,3,1,120,18180,1
1,4,1,90,18180,1
1,5,1,180,18180,1
1,5,1,60,18180,1
10,1,1,10,2880,1
5,1,1,5,4320,1
1,1,2,240,53280,0
1,1,3,180,53280,1
1,1,3,180,53280,0
1,1,3,600,97920,1
8,1,1,90,5580,0
3,1,1,180,97920,2
1,1,3,150,53280,0
1,1,3,150,53280,1
1,1,3,150,53280,1
1,1,3,25,53280,0
1,1,1,30,5640,2
1,1,1,30,5640,2
1,1,2,600,53280,1
1,4,1,60,15540,1
1,3,1,25,15840,1
1,4,1,20,15840,0
1,4,1,15,15840,0
1,4,1,15,25920,0
3,1,1,60,28800,2
